aX,aY,aZ,gX,gY,gZ
-2.080,0.252,-0.690,-56.885,-124.817,-30.762
-2.275,0.329,-0.742,-64.209,-147.705,2.686
-2.450,0.420,-0.728,-77.576,-170.959,37.598
-2.520,0.490,-0.666,-100.159,-188.965,73.853
-2.539,0.546,-0.591,-126.160,-202.881,111.328
-2.546,0.607,-0.460,-148.682,-217.773,148.987
-2.451,0.661,-0.268,-165.894,-231.079,183.777
-2.231,0.701,0.003,-178.345,-242.798,215.576
-1.986,0.675,0.335,-187.744,-255.493,242.737
-1.726,0.661,0.717,-195.801,-266.235,259.888
-1.469,0.584,1.139,-199.402,-269.714,270.142
-1.254,0.495,1.588,-198.242,-265.625,278.320
-1.006,0.363,2.116,-197.998,-251.465,289.368
-0.545,0.253,2.661,-201.843,-217.590,311.890
0.098,0.172,3.120,-206.055,-170.349,344.727
0.666,0.045,3.367,-201.965,-126.709,375.732
1.044,-0.154,3.511,-178.406,-96.008,390.259
1.380,-0.313,3.580,-135.803,-82.520,377.686
1.949,-0.293,3.638,-86.914,-83.008,353.821
2.658,-0.223,3.651,-47.974,-85.083,341.980
3.299,-0.252,3.606,-25.940,-83.740,339.844
3.704,-0.363,3.479,-9.277,-87.585,324.280
3.829,-0.355,3.220,17.395,-111.267,274.963
3.658,-0.329,2.886,56.763,-143.677,201.477
3.420,-0.137,2.509,96.741,-155.457,130.310
3.139,-0.032,2.206,124.634,-138.306,87.402
2.892,0.056,1.856,135.925,-101.074,75.806
2.780,0.026,1.608,131.226,-45.959,86.731
2.758,0.037,1.442,116.211,11.475,98.816
2.823,0.206,1.374,102.539,49.072,96.008
2.790,0.216,1.267,90.820,65.430,99.304
2.773,0.180,1.201,76.782,85.999,97.229
2.688,0.165,1.060,65.369,98.267,76.904
2.540,0.099,0.998,59.509,106.567,54.993
2.408,0.056,0.956,53.345,115.662,32.898
2.217,-0.043,0.911,44.006,121.094,17.639
2.000,-0.169,0.895,32.349,126.221,8.362
1.810,-0.264,0.893,20.569,133.362,1.221
1.619,-0.368,0.914,11.047,146.179,-0.793
1.438,-0.464,0.948,3.052,161.865,1.282
1.260,-0.547,0.960,-3.784,177.917,7.080
1.108,-0.631,0.974,-8.301,192.688,14.954
0.980,-0.704,0.981,-10.742,203.125,21.606
0.880,-0.765,0.994,-13.672,210.144,27.161
0.804,-0.813,1.034,-18.433,215.637,31.799
0.739,-0.855,1.089,-25.330,220.398,35.095
0.687,-0.892,1.122,-33.936,226.074,37.842
0.635,-0.927,1.122,-41.199,231.201,40.039
0.596,-0.921,1.085,-43.091,233.582,39.429
0.565,-0.869,1.037,-37.842,233.154,35.950
0.544,-0.831,0.981,-28.198,229.065,30.823
0.541,-0.766,0.922,-17.700,221.313,24.902
0.551,-0.742,0.842,-7.324,211.426,20.752
0.550,-0.730,0.704,2.075,197.632,15.991
0.517,-0.677,0.562,15.076,178.711,7.141
0.481,-0.579,0.424,30.945,158.020,-4.456
0.464,-0.482,0.280,44.678,138.306,-15.930
0.457,-0.402,0.131,55.481,119.568,-25.879
0.432,-0.322,-0.004,62.195,101.563,-33.081
0.413,-0.257,-0.122,63.049,85.754,-38.330
0.399,-0.209,-0.212,58.838,73.425,-41.809
0.378,-0.143,-0.262,50.171,64.087,-44.373
0.373,-0.062,-0.291,38.574,58.228,-46.692
0.401,0.024,-0.297,25.574,55.115,-46.936
0.445,0.101,-0.284,12.756,53.467,-44.556
0.481,0.177,-0.247,1.221,52.002,-42.297
0.499,0.254,-0.192,-7.812,49.133,-42.908
0.492,0.327,-0.130,-14.893,44.678,-47.058
0.459,0.395,-0.058,-20.325,39.124,-53.955
0.412,0.458,0.016,-24.597,32.959,-62.866
0.375,0.525,0.077,-25.879,27.039,-71.899
0.342,0.596,0.129,-24.963,20.325,-79.407
0.305,0.657,0.170,-22.156,12.268,-85.205
0.270,0.722,0.195,-18.127,2.991,-90.881
0.243,0.803,0.198,-13.184,-6.714,-96.497
0.228,0.910,0.201,-7.996,-17.029,-100.586
0.205,1.007,0.210,-2.136,-26.001,-103.760
0.164,1.095,0.202,1.282,-32.410,-107.056
0.121,1.193,0.167,2.197,-35.645,-110.718
0.059,1.304,0.117,3.662,-36.072,-114.868
-0.014,1.437,0.080,6.165,-34.607,-119.629
-0.089,1.582,0.029,7.996,-32.349,-124.268
-0.154,1.735,-0.057,9.277,-31.067,-127.686
-0.231,1.895,-0.156,9.277,-31.616,-130.859
-0.326,2.026,-0.193,5.249,-33.691,-136.047
-0.401,2.069,-0.166,-6.775,-36.255,-143.066
-0.410,2.057,-0.215,-23.315,-38.086,-149.170
-0.410,1.908,-0.345,-34.180,-41.870,-154.053
-0.384,1.945,-0.446,-48.035,-51.086,-159.058
-0.427,1.952,-0.487,-63.477,-63.232,-164.124
-0.495,1.945,-0.476,-81.848,-79.285,-176.453
-0.550,1.902,-0.509,-109.985,-93.811,-194.519
-0.621,1.696,-0.513,-142.883,-102.234,-207.764
-0.625,1.403,-0.524,-183.350,-108.276,-224.854
-0.554,0.457,-0.455,-284.851,-126.465,-231.384
-0.534,0.002,-0.315,-342.896,-136.230,-233.765
-0.470,-0.310,0.184,-398.682,-134.888,-223.450
-0.449,-0.714,0.957,-456.055,-127.930,-194.885
-0.689,-1.187,2.089,-515.991,-119.080,-155.457
-1.184,-1.597,3.624,-560.059,-79.651,-105.835
-1.101,-1.731,4.000,-562.988,9.155,-43.335
-0.033,-2.065,4.000,-504.089,126.892,29.602
0.803,-2.431,4.000,-406.006,180.786,115.417
0.402,-2.958,4.000,-316.406,140.625,200.134
0.784,-2.552,4.000,-245.056,115.295,192.749
0.719,-2.764,4.000,-179.749,37.842,120.544
0.687,-2.858,4.000,-121.277,-77.393,14.282
1.000,-2.860,3.574,-66.956,-156.738,-78.430
1.131,-3.514,2.681,-22.522,-215.332,-88.806
0.879,-3.014,2.375,2.686,-254.761,-44.006
0.716,-2.302,2.617,59.448,-236.145,-9.888
0.756,-1.637,2.429,100.220,-165.466,13.977
0.748,-1.150,2.204,114.990,-92.834,46.936
0.793,-0.886,1.973,119.080,-52.063,63.477
0.868,-0.661,1.653,112.305,-45.532,53.223
0.942,-0.567,1.359,101.990,-54.199,24.719
0.969,-0.502,1.136,95.947,-59.509,-4.517
0.954,-0.418,0.972,94.971,-50.964,-21.606
0.845,-0.339,0.861,95.398,-28.809,-26.367
-2.291,0.217,-0.289,-139.954,32.776,-88.196
-2.579,0.041,-0.147,-144.409,34.424,-12.634
-2.668,0.066,0.034,-139.038,18.677,72.815
-2.702,0.198,0.307,-125.793,-14.160,141.052
-2.701,0.263,0.548,-116.638,-54.871,182.983
-2.706,0.271,0.728,-111.816,-94.910,206.787
-2.706,0.312,0.934,-98.633,-131.531,226.257
-2.637,0.396,1.095,-77.942,-161.621,250.610
-2.546,0.534,1.217,-58.899,-190.674,279.663
-2.402,0.635,1.381,-49.988,-221.008,309.814
-2.127,0.627,1.591,-45.715,-247.620,338.745
-1.801,0.583,1.830,-41.382,-267.639,362.061
-1.453,0.496,2.068,-35.950,-278.809,382.263
-1.100,0.372,2.347,-28.625,-279.724,397.705
-0.755,0.318,2.599,-19.836,-275.879,408.264
-0.393,0.296,2.866,-10.010,-268.860,413.513
0.297,0.375,3.095,4.578,-251.953,417.786
1.032,0.338,3.563,19.775,-248.108,438.171
1.064,0.383,3.131,25.269,-253.174,446.289
1.954,0.498,3.265,34.912,-163.147,410.950
2.441,0.519,3.408,60.608,-112.305,404.663
2.579,0.661,3.202,104.126,-149.353,399.719
3.598,0.962,2.911,119.751,-145.630,394.104
3.994,0.980,2.800,136.719,-148.132,361.084
4.000,1.084,2.584,154.968,-173.706,298.645
4.000,1.226,2.291,174.744,-206.238,226.074
4.000,1.376,1.978,185.364,-217.041,172.119
4.000,1.421,1.532,176.575,-173.096,167.725
4.000,1.312,1.252,153.381,-75.928,173.584
4.000,1.304,1.007,118.896,18.311,162.109
4.000,1.367,0.820,85.632,84.595,137.207
4.000,1.267,0.726,56.519,113.159,113.281
4.000,1.199,0.693,33.203,106.018,68.481
3.899,1.080,0.695,18.982,89.355,13.794
3.624,0.923,0.727,13.611,91.309,-30.212
3.290,0.742,0.795,12.207,113.403,-58.289
2.935,0.562,0.822,9.583,145.630,-75.500
2.594,0.392,0.828,4.211,181.885,-82.886
2.273,0.220,0.849,-2.502,215.027,-85.693
1.970,0.073,0.945,-11.597,239.746,-86.365
1.698,-0.045,1.094,-24.963,254.883,-86.060
1.476,-0.146,1.208,-37.903,262.268,-85.815
1.291,-0.214,1.261,-42.236,261.780,-87.708
1.102,-0.240,1.251,-37.842,255.432,-93.140
0.916,-0.230,1.196,-29.907,246.338,-102.600
0.733,-0.208,1.131,-21.729,234.070,-115.112
0.563,-0.196,1.084,-14.709,222.534,-125.427
0.442,-0.181,1.023,-5.493,212.402,-131.775
0.316,-0.172,0.924,6.592,201.660,-137.390
0.176,-0.138,0.825,19.104,189.819,-143.738
0.045,-0.075,0.739,28.748,179.382,-149.231
-0.057,-0.012,0.665,33.325,169.617,-151.306
-0.129,0.047,0.611,33.875,157.776,-148.865
-0.177,0.107,0.568,30.884,141.907,-141.541
-0.212,0.165,0.534,25.574,122.986,-133.240
-0.233,0.224,0.507,19.531,101.990,-127.808
-0.242,0.280,0.479,15.137,80.383,-126.465
-0.241,0.345,0.451,12.695,59.753,-128.601
-0.216,0.414,0.422,12.146,41.748,-132.263
-0.191,0.491,0.383,11.902,28.320,-133.484
-0.178,0.562,0.350,10.925,20.813,-132.324
-0.183,0.644,0.307,8.240,19.470,-130.249
-0.198,0.734,0.263,5.188,22.522,-126.587
-0.219,0.834,0.215,2.197,26.245,-121.399
-0.217,0.925,0.170,-0.366,27.893,-114.929
-0.204,1.013,0.135,-3.845,25.696,-107.910
-0.166,1.121,0.096,-8.484,20.264,-102.112
-0.125,1.180,0.075,-13.123,12.390,-98.511
-0.180,1.367,0.073,-22.644,4.639,-99.792
-0.258,1.472,0.042,-31.677,1.770,-109.314
-0.350,1.608,0.010,-39.063,0.427,-120.300
-0.445,1.750,0.009,-46.997,0.244,-125.977
-0.549,1.908,0.008,-55.115,0.732,-126.587
-0.639,2.060,-0.084,-64.819,0.610,-122.742
-0.726,2.142,-0.248,-75.256,-4.211,-115.723
-0.776,2.171,-0.427,-88.623,-15.381,-109.192
-0.807,2.186,-0.609,-106.262,-31.067,-104.126
-0.843,2.134,-0.802,-126.831,-52.185,-101.807
-0.869,2.058,-1.051,-150.757,-75.684,-103.943
-0.875,1.986,-1.186,-184.265,-98.694,-104.980
-0.724,1.823,-1.247,-233.765,-122.620,-100.098
-0.401,1.668,-1.247,-296.021,-147.583,-71.350
-0.061,1.476,-1.030,-457.214,-192.444,-46.143
0.408,0.899,0.109,-557.373,-196.533,-40.222
0.277,0.655,1.170,-640.930,-197.815,-43.823
-0.020,0.739,3.028,-686.218,-195.251,-68.726
-0.658,0.686,4.000,-690.857,-169.983,-76.721
-0.748,-0.047,4.000,-669.006,-81.360,-27.466
0.239,-1.062,4.000,-628.845,73.486,57.068
0.671,-1.900,4.000,-569.397,205.139,190.613
1.135,-1.998,4.000,-471.802,271.301,273.621
1.739,-3.478,4.000,-356.384,191.711,271.179
2.103,-3.402,4.000,-308.350,41.260,195.740
2.576,-3.215,4.000,-219.788,-75.317,97.412
3.118,-3.445,4.000,-138.916,-27.954,-35.522
3.319,-3.017,4.000,-75.195,25.269,-96.985
2.524,-2.137,4.000,44.800,5.493,-98.022
1.908,-1.211,4.000,191.772,-34.180,-90.759
1.442,-0.262,3.340,289.124,-85.754,-95.215
1.129,0.516,2.058,333.191,-173.828,-109.497
1.038,0.680,1.122,342.285,-289.795,-127.930
1.120,0.461,0.595,324.341,-374.268,-138.794
0.990,0.415,0.280,282.227,-403.381,-132.629
0.578,0.488,-0.187,232.483,-375.610,-128.296
0.652,0.296,-0.011,206.543,-238.586,-115.540
0.589,0.149,0.221,180.115,-65.063,-77.820
0.248,0.274,0.248,134.888,75.806,-33.325
0.087,0.223,0.284,97.961,157.227,-13.306
-0.088,0.234,0.304,74.158,183.655,-8.118
-0.332,0.226,0.312,61.707,174.622,-3.357
-0.507,0.180,0.293,56.458,152.283,4.761
-0.611,0.110,0.296,53.406,131.653,9.277
-0.640,0.062,0.314,50.842,115.662,3.845
-0.553,0.036,0.335,48.401,103.516,-6.714
-0.464,-0.012,0.344,45.654,91.736,-14.038
-0.409,-0.068,0.334,43.335,80.017,-16.235
-0.376,-0.117,0.339,42.969,71.960,-15.564
-0.343,-0.152,0.328,43.030,70.740,-12.329
-0.320,-0.193,0.330,43.396,73.975,-5.493
0.756,-1.095,0.792,50.781,52.979,20.325
0.776,-1.120,0.814,56.152,63.293,22.522
0.775,-1.141,0.809,62.622,73.242,22.888
0.766,-1.152,0.796,68.909,81.116,21.301
0.753,-1.153,0.760,74.768,85.999,19.043
0.747,-1.152,0.718,79.041,89.172,17.456
0.753,-1.148,0.664,80.994,91.064,17.334
0.763,-1.149,0.614,81.604,92.529,19.104
0.770,-1.142,0.578,81.238,94.421,21.362
0.766,-1.128,0.541,80.383,97.595,23.376
0.749,-1.124,0.487,81.055,102.478,24.841
0.746,-1.110,0.433,83.130,107.788,26.001
0.750,-1.095,0.383,85.754,112.305,27.039
0.744,-1.078,0.358,88.745,116.028,27.100
0.730,-1.059,0.308,91.797,119.873,26.184
0.706,-1.037,0.263,93.689,122.681,23.865
0.672,-1.010,0.208,94.482,122.314,19.287
0.642,-0.969,0.165,95.581,119.141,12.939
0.590,-0.939,0.101,98.206,113.220,7.202
0.551,-0.900,0.047,100.281,105.957,2.014
0.522,-0.846,-0.003,100.220,98.267,-1.770
0.503,-0.803,-0.044,98.022,90.637,-3.906
0.487,-0.776,-0.068,93.506,84.290,-4.639
0.461,-0.758,-0.095,85.571,81.482,-4.700
0.431,-0.734,-0.124,75.317,81.360,-4.944
0.410,-0.702,-0.153,66.406,81.848,-5.188
0.385,-0.665,-0.183,59.875,80.750,-5.005
0.366,-0.634,-0.196,53.955,78.125,-4.944
0.358,-0.601,-0.209,48.035,74.585,-5.371
0.357,-0.559,-0.217,42.114,66.406,-6.775
0.412,-0.492,-0.221,30.823,62.988,-9.460
0.427,-0.469,-0.213,25.452,61.523,-14.587
0.420,-0.454,-0.210,20.081,61.768,-22.278
0.388,-0.440,-0.212,16.235,62.134,-32.654
0.330,-0.422,-0.209,14.221,60.608,-44.067
0.272,-0.398,-0.212,13.245,56.702,-56.030
0.217,-0.370,-0.225,12.634,50.537,-67.505
0.164,-0.348,-0.252,10.132,43.518,-77.881
0.112,-0.320,-0.280,6.775,36.438,-87.463
0.041,-0.297,-0.300,3.418,30.151,-96.313
-0.040,-0.271,-0.306,-1.099,25.085,-104.492
-0.122,-0.238,-0.308,-7.629,20.386,-110.962
-0.208,-0.203,-0.299,-16.052,16.174,-115.112
-0.296,-0.175,-0.284,-38.391,8.118,-118.164
-0.523,-0.114,-0.276,-50.903,4.272,-118.958
-0.682,-0.065,-0.275,-64.636,0.549,-121.033
-0.879,0.001,-0.267,-79.163,-4.578,-121.521
-1.130,0.081,-0.262,-93.140,-13.428,-116.821
-1.419,0.164,-0.237,-106.079,-24.597,-106.750
-1.739,0.193,-0.178,-115.967,-35.828,-89.172
