aX,aY,aZ,gX,gY,gZ
0.926,-0.772,1.657,-38.208,-251.282,-23.071
1.324,-0.928,1.988,-39.246,-217.590,-10.986
1.735,-0.749,2.161,-30.823,-182.434,-2.258
2.354,-0.544,2.339,-15.381,-142.700,-0.549
2.909,-0.409,2.451,0.916,-101.440,-0.244
3.448,-0.382,2.701,13.916,-71.777,-8.423
3.746,-0.348,2.668,21.729,-79.468,-31.555
3.439,-0.193,2.014,28.320,-108.398,-63.782
3.853,-0.431,2.550,52.063,-64.087,-84.167
3.561,-0.326,1.972,56.396,-57.739,-98.328
3.188,-0.202,1.720,53.711,-54.199,-115.356
3.168,-0.293,1.798,65.247,19.165,-109.863
2.865,-0.260,1.686,51.331,54.077,-99.060
2.501,-0.261,1.379,33.447,55.664,-84.290
2.213,-0.251,1.242,27.954,76.782,-62.744
2.008,-0.207,1.146,30.334,101.257,-41.992
1.821,-0.145,1.015,32.898,113.892,-21.545
1.611,-0.057,0.857,34.180,124.512,-2.441
1.487,-0.005,0.755,33.630,139.832,15.076
1.397,0.037,0.631,28.748,152.771,32.715
1.349,0.087,0.498,21.057,161.133,50.476
1.376,0.168,0.402,12.695,166.138,68.542
1.498,0.272,0.360,5.066,169.739,88.074
1.721,0.452,0.366,-0.427,174.011,110.840
2.053,0.696,0.423,-7.629,178.528,134.460
2.398,0.975,0.442,-21.240,187.988,152.466
2.705,1.146,0.449,-42.847,205.261,157.715
2.857,1.249,0.329,-70.374,224.426,131.531
2.802,1.318,-0.071,-119.934,256.470,107.849
2.733,1.290,-0.346,-131.531,257.751,81.116
2.616,1.275,-0.527,-141.418,247.253,53.345
2.543,1.271,-0.735,-158.447,218.140,22.400
2.382,1.237,-0.945,-170.532,166.626,-18.555
2.157,1.187,-1.132,-165.100,95.825,-79.407
1.699,1.117,-1.246,-144.592,5.493,-160.461
1.048,0.929,-1.213,-121.033,-110.413,-259.583
0.140,0.943,-1.190,-94.788,-254.944,-362.244
-0.649,0.737,-0.710,-57.312,-389.648,-442.139
-1.080,0.372,-0.172,-75.928,-399.963,-433.472
-1.980,-0.517,1.365,-176.270,-228.027,-325.562
-1.787,-0.965,2.115,-302.734,11.597,-164.001
-1.686,-1.157,2.127,-380.127,215.515,-20.386
-1.774,-0.971,1.689,-352.722,326.355,35.156
-2.013,-0.750,1.298,-255.554,330.811,13.306
-1.969,-0.640,1.223,-146.973,242.920,-39.063
-1.670,-0.719,1.369,-44.739,96.680,-95.581
-1.407,-0.867,1.441,34.302,-43.518,-147.400
-0.799,-0.826,1.247,125.183,-117.004,-141.724
-0.585,-0.762,1.020,133.240,-83.252,-131.958
-0.522,-0.721,0.642,111.023,-32.715,-109.070
-0.432,-0.691,0.286,66.772,21.423,-67.627
-0.284,-0.657,0.003,17.883,60.425,-23.132
-0.097,-0.595,-0.173,-18.555,75.256,12.329
0.112,-0.521,-0.217,-35.828,69.458,37.170
0.327,-0.416,-0.252,-38.025,48.584,48.523
0.537,-0.332,-0.237,-29.785,24.536,46.753
0.711,-0.294,-0.191,-16.968,5.310,39.246
0.805,-0.280,-0.151,-7.263,-6.958,31.982
0.903,-0.277,-0.110,-1.953,-9.888,27.527
0.985,-0.259,-0.089,-0.977,-4.700,26.489
1.011,-0.232,-0.078,-5.615,2.075,27.344
1.014,-0.241,-0.060,-14.465,8.911,27.527
1.010,-0.267,-0.040,-24.170,14.771,27.588
1.008,-0.302,0.009,-31.860,17.273,27.771
1.010,-0.346,0.069,-36.011,17.456,27.100
0.986,-0.377,0.131,-35.034,15.625,24.780
0.965,-0.407,0.199,-31.555,11.902,21.484
0.950,-0.445,0.277,-27.222,7.202,16.785
0.920,-0.515,0.378,-15.076,5.249,14.832
0.895,-0.532,0.401,-9.827,8.179,15.503
0.898,-0.519,0.418,-6.775,13.184,19.348
0.909,-0.499,0.410,-4.333,17.456,23.254
0.922,-0.488,0.384,-1.404,20.142,25.574
0.933,-0.471,0.353,1.404,22.217,27.222
0.941,-0.447,0.319,4.761,22.888,28.076
0.950,-0.422,0.282,8.057,22.461,28.137
0.957,-0.397,0.251,10.742,20.996,27.588
0.969,-0.363,0.232,12.695,19.165,26.611
0.993,-0.334,0.221,13.489,17.456,25.330
1.006,-0.314,0.217,13.489,16.602,23.437
1.005,-0.308,0.214,12.573,16.968,21.118
1.001,-0.315,0.210,11.230,17.944,18.555
0.986,-0.325,0.203,9.949,19.226,16.846
0.966,-0.337,0.204,9.766,20.142,15.686
0.949,-0.338,0.208,10.376,20.508,14.587
0.936,-0.333,0.214,11.963,20.325,13.794
0.923,-0.325,0.213,13.489,20.447,13.367
0.917,-0.316,0.203,14.160,21.057,13.489
0.913,-0.309,0.195,13.916,21.606,13.794
0.905,-0.306,0.189,13.489,22.339,13.916
0.900,-0.306,0.187,13.123,22.583,13.489
0.898,-0.308,0.181,12.939,22.339,12.878
0.900,-0.310,0.172,13.733,22.217,12.268
0.897,-0.305,0.156,15.320,21.545,11.475
0.894,-0.298,0.141,16.418,21.240,10.437
0.894,-0.295,0.129,16.968,20.508,9.216
0.877,-0.294,0.084,17.029,18.372,7.874
0.883,-0.302,0.087,17.273,18.372,7.080
0.883,-0.304,0.075,17.151,16.846,6.958
0.884,-0.307,0.067,16.052,15.259,7.751
0.887,-0.308,0.061,14.465,14.099,8.728
0.889,-0.304,0.064,13.000,13.428,9.705
0.896,-0.297,0.068,11.841,12.390,11.047
0.912,-0.290,0.074,11.047,11.108,11.902
0.925,-0.289,0.081,10.986,9.399,11.780
0.933,-0.289,0.086,11.353,7.507,10.925
0.937,-0.292,0.092,14.099,4.822,8.484
0.947,-0.302,0.091,15.259,5.554,7.751
0.952,-0.303,0.085,14.893,8.057,8.057
0.960,-0.303,0.077,13.428,12.146,9.827
0.965,-0.299,0.067,10.803,15.259,12.329
0.972,-0.291,0.058,8.179,16.296,14.709
0.978,-0.280,0.051,7.446,15.564,15.808
0.989,-0.270,0.050,8.423,12.817,15.076
0.995,-0.260,0.043,11.108,9.583,13.123
1.001,-0.257,0.040,14.587,7.080,10.620
1.005,-0.255,0.041,17.029,5.493,8.728
1.002,-0.250,0.036,17.761,4.395,7.141
1.006,-0.253,0.037,17.517,4.700,6.531
-1.901,0.970,0.274,-18.372,32.959,-87.341
-2.385,0.866,0.306,-38.208,28.687,-87.402
-2.616,0.710,0.232,-51.147,14.648,-66.711
-2.717,0.544,0.196,-43.884,-5.310,-27.222
-2.641,0.524,0.240,-18.127,-23.437,12.878
-2.323,0.551,0.210,16.113,-42.786,38.940
-1.923,0.557,0.054,52.490,-65.125,45.532
-1.481,0.416,-0.164,81.726,-86.609,40.405
-1.016,0.164,-0.260,90.820,-107.239,35.095
-0.567,-0.024,-0.414,81.482,-126.282,43.213
-0.167,-0.102,-0.307,69.641,-147.583,58.350
0.347,-0.192,-0.111,47.119,-177.795,72.510
0.903,-0.207,0.165,20.020,-205.566,83.801
1.528,-0.272,0.463,7.446,-224.365,86.121
2.062,-0.300,0.717,2.747,-234.253,70.557
2.676,-0.450,1.050,5.920,-231.262,41.870
3.381,-0.586,1.455,17.456,-218.933,22.095
3.942,-0.460,1.774,25.879,-208.313,11.292
4.000,-0.294,1.983,28.809,-193.665,0.000
4.000,-0.183,2.122,27.832,-166.443,-10.437
4.000,-0.106,2.145,25.635,-132.874,-24.658
4.000,-0.053,2.038,29.480,-99.243,-40.649
4.000,-0.013,1.767,39.917,-67.322,-60.730
4.000,-0.025,1.473,50.903,-38.147,-82.825
